split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
0.8508287292817679,0.9204545454545455,0.9101123595505618,0.88268156424581,0.9265536723163842,0.8981113872811777,0.028031814271616926,83,2.117147159576416,0.05735661932002337,0.0829883098602295,0.004601546147201209,balanced_subsample,15,sqrt,7,10,515,"OrderedDict([('class_weight', 'balanced_subsample'), ('max_depth', 15), ('max_features', 'sqrt'), ('min_samples_leaf', 7), ('min_samples_split', 10), ('n_estimators', 515)])"
0.8852459016393441,0.9325842696629215,0.9318181818181818,0.8977272727272727,0.9371428571428572,0.9169024861918809,0.02120655883974716,67,0.8839194297790527,0.015914560921457245,0.03399076461791992,0.0022839143868095125,balanced_subsample,16,log2,4,10,236,"OrderedDict([('class_weight', 'balanced_subsample'), ('max_depth', 16), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 236)])"
0.8491620111731844,0.9204545454545455,0.9152542372881356,0.875,0.9265536723163842,0.897276938934578,0.030104581348734796,84,1.2951828002929688,0.02510335466896372,0.06775798797607421,0.013128118748001282,balanced,13,sqrt,7,16,442,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 13), ('max_features', 'sqrt'), ('min_samples_leaf', 7), ('min_samples_split', 16), ('n_estimators', 442)])"
0.8852459016393441,0.9325842696629215,0.9204545454545455,0.898876404494382,0.9318181818181818,0.9137923265989719,0.01876554388502444,72,0.7209532737731934,0.014749426267775353,0.036777591705322264,0.005189062238339209,,7,sqrt,4,12,254,"OrderedDict([('class_weight', None), ('max_depth', 7), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 12), ('n_estimators', 254)])"
0.8508287292817679,0.9265536723163842,0.9101123595505618,0.8700564971751412,0.9265536723163842,0.8968176054933833,0.030913161305046972,85,2.899001121520996,0.020363242897051027,0.14272780418395997,0.011040458483031666,balanced,32,sqrt,7,3,995,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 32), ('max_features', 'sqrt'), ('min_samples_leaf', 7), ('min_samples_split', 3), ('n_estimators', 995)])"
0.8839779005524862,0.9378531073446328,0.9204545454545455,0.9101123595505618,0.9371428571428572,0.9178951256392269,0.019941746779187006,65,1.002229881286621,0.015243055297416363,0.05522603988647461,0.00580970674525797,balanced,18,log2,4,3,334,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 18), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 334)])"
0.8729281767955801,0.9325842696629215,0.9204545454545455,0.903954802259887,0.9371428571428572,0.9133966753669436,0.023285867486447048,73,2.373858118057251,0.040281322607225827,0.12875785827636718,0.02303578734992703,balanced,23,sqrt,4,11,789,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 23), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 11), ('n_estimators', 789)])"
0.8729281767955801,0.9265536723163842,0.9152542372881356,0.8764044943820224,0.9265536723163842,0.9035435425724815,0.02395507836647929,80,1.3216705799102784,0.019772918200162005,0.0757530689239502,0.01077126285585779,balanced,31,log2,7,11,456,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 31), ('max_features', 'log2'), ('min_samples_leaf', 7), ('min_samples_split', 11), ('n_estimators', 456)])"
0.8913043478260869,0.9325842696629215,0.9204545454545455,0.888888888888889,0.9318181818181818,0.9130160980088871,0.019204997506196995,74,1.8496623516082764,0.032967889809584865,0.1454221248626709,0.029708381895096288,balanced,13,sqrt,5,8,531,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 13), ('max_features', 'sqrt'), ('min_samples_leaf', 5), ('min_samples_split', 8), ('n_estimators', 531)])"
0.8913043478260869,0.9378531073446328,0.9378531073446328,0.9101123595505618,0.9491525423728814,0.9252451216848572,0.02131232911156892,57,2.780776309967041,0.043160481135306884,0.10461854934692383,0.008848458480769516,balanced,22,log2,2,10,740,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 22), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 10), ('n_estimators', 740)])"
