split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,param_shrinking,params
0.8461538461538463,0.8756756756756756,0.9111111111111111,0.7861271676300577,0.8876404494382022,0.8613973626247117,0.043004430871177446,56,0.07815155982971192,0.012098042034627046,0.013591146469116211,0.010025175829356118,0.15970207854044277,balanced,scale,rbf,True,"OrderedDict([('C', 0.15970207854044277), ('class_weight', 'balanced'), ('gamma', 'scale'), ('kernel', 'rbf'), ('shrinking', True)])"
0.6770428015564203,0.6717557251908397,0.6796875,0.6770428015564202,0.682170542635659,0.6775351662199676,0.003464649636707794,88,0.06475958824157715,0.012600375917579941,0.005196857452392578,0.0009793647801427535,0.020244009795287725,,auto,poly,False,"OrderedDict([('C', 0.020244009795287725), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'poly'), ('shrinking', False)])"
0.7404255319148936,0.7341772151898734,0.7404255319148936,0.7445887445887446,0.7467811158798283,0.7412695930403879,0.004315014374606044,81,0.07335462570190429,0.007859445165833678,0.0045969486236572266,0.0004895900298295808,0.10006199362183381,balanced,auto,poly,True,"OrderedDict([('C', 0.10006199362183381), ('class_weight', 'balanced'), ('gamma', 'auto'), ('kernel', 'poly'), ('shrinking', True)])"
0.7428571428571429,0.7608695652173914,0.7011494252873564,0.7,0.7906976744186046,0.7391005609281873,0.03495562374217377,82,0.06256117820739746,0.012792066501394504,0.0043975830078125,0.0004897262335238861,2.841798815975187,,auto,sigmoid,False,"OrderedDict([('C', 2.841798815975187), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'sigmoid'), ('shrinking', False)])"
0.8602150537634408,0.8756756756756756,0.8666666666666666,0.8187134502923976,0.8474576271186441,0.8537927565621298,0.019767436479977838,57,0.05556454658508301,0.010358316376670963,0.004597520828247071,0.0004899597886342959,0.31750289702668594,balanced,scale,poly,False,"OrderedDict([('C', 0.31750289702668594), ('class_weight', 'balanced'), ('gamma', 'scale'), ('kernel', 'poly'), ('shrinking', False)])"
0.6692015209125476,0.6666666666666666,0.6666666666666666,0.6641221374045801,0.0,0.533789872885053,0.26632969138256773,100,0.05896329879760742,0.01135902730802119,0.004997158050537109,4.156969970265077e-07,0.00015124211635101403,,auto,poly,False,"OrderedDict([('C', 0.00015124211635101403), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'poly'), ('shrinking', False)])"
0.7904761904761903,0.7570093457943926,0.7962085308056872,0.0,0.6692015209125476,0.6031895466573114,0.3043514247549261,97,0.13391661643981934,0.030114631156773083,0.0067958831787109375,0.00074807338898229,0.002007895396486186,balanced,scale,sigmoid,False,"OrderedDict([('C', 0.002007895396486186), ('class_weight', 'balanced'), ('gamma', 'scale'), ('kernel', 'sigmoid'), ('shrinking', False)])"
0.8260869565217391,0.8247422680412373,0.8556149732620321,0.7717391304347826,0.8432432432432433,0.824323569716237,0.02862544626072562,70,0.07875094413757325,0.003967883703925255,0.005396842956542969,0.0007994175028381438,0.24454941460596,,auto,sigmoid,False,"OrderedDict([('C', 0.24454941460596), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'sigmoid'), ('shrinking', False)])"
0.8432432432432433,0.8729281767955801,0.8839779005524862,0.8421052631578947,0.8764044943820225,0.8637420136600866,0.017564159060678784,55,0.0671584129333496,0.01191589582182687,0.004197311401367187,0.00039961344799898974,1.4890235306970099,,auto,poly,False,"OrderedDict([('C', 1.4890235306970099), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'poly'), ('shrinking', False)])"
0.8541666666666667,0.8947368421052632,0.907103825136612,0.8876404494382023,0.9230769230769231,0.8933175751230641,0.022993521334593946,52,0.0747899055480957,0.007717566317113043,0.00379796028137207,0.0003996851051146208,7.670057284096984,,auto,poly,False,"OrderedDict([('C', 7.670057284096984), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'poly'), ('shrinking', False)])"
0.8415300546448087,0.8481675392670156,0.8478260869565218,0.782608695652174,0.8461538461538463,0.8333002421969048,0.02540239502055594,63,0.40319361686706545,0.05398330676813741,0.009602069854736328,0.011715010919454202,10.0,balanced,scale,linear,True,"OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('gamma', 'scale'), ('kernel', 'linear'), ('shrinking', True)])"
0.8571428571428572,0.8994708994708994,0.9297297297297297,0.8876404494382023,0.9333333333333332,0.9014428992955266,0.028200037958179217,49,0.10099663734436035,0.004605495509563239,0.004000997543334961,6.763023624989089e-06,5.110827023843817,,scale,poly,False,"OrderedDict([('C', 5.110827023843817), ('class_weight', None), ('gamma', 'scale'), ('kernel', 'poly'), ('shrinking', False)])"
0.8415300546448087,0.8481675392670156,0.8478260869565218,0.782608695652174,0.8461538461538463,0.8333002421969048,0.02540239502055594,63,1.8704466819763184,0.24665989343019729,0.0035051345825195313,0.00044717781577798183,10.0,,auto,linear,False,"OrderedDict([('C', 10.0), ('class_weight', None), ('gamma', 'auto'), ('kernel', 'linear'), ('shrinking', False)])"
0.8415300546448087,0.8481675392670156,0.8540540540540541,0.782608695652174,0.8461538461538463,0.8345486729590526,0.026225317958241554,59,0.40000138282775877,0.11239222278843886,0.00339813232421875,0.0004897262799526149,2.30538327851196,balanced,scale,linear,False,"OrderedDict([('C', 2.30538327851196), ('class_weight', 'balanced'), ('gamma', 'scale'), ('kernel', 'linear'), ('shrinking', False)])"
