split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_l1_ratio,params
0.8461538461538463,0.8333333333333333,0.8524590163934427,0.7777777777777778,0.8426966292134833,0.8305302411144193,0.027038209882834216,14,0.02279210090637207,0.003485518199324201,0.00379796028137207,0.0011658033244449611,0.15970207854044277,balanced,0.8646847359166046,"OrderedDict([('C', 0.15970207854044277), ('class_weight', 'balanced'), ('l1_ratio', 0.8646847359166046)])"
0.8426966292134833,0.8449197860962567,0.8397790055248618,0.7486033519553073,0.824858757062147,0.8202476801195268,0.03642555431005004,62,0.05100255012512207,0.011000080798968812,0.010398578643798829,0.011798572501547918,1.340826877620501,,0.46125930775499646,"OrderedDict([('C', 1.340826877620501), ('class_weight', None), ('l1_ratio', 0.46125930775499646)])"
0.8397790055248618,0.837696335078534,0.8524590163934427,0.7640449438202248,0.8314606741573033,0.8251502619333839,0.031242612083220964,35,0.036201858520507814,0.004689977621264802,0.0038021564483642577,0.0007489098752528706,0.13988250401283872,balanced,0.18639095107427697,"OrderedDict([('C', 0.13988250401283872), ('class_weight', 'balanced'), ('l1_ratio', 0.18639095107427697)])"
0.8229166666666666,0.8404255319148937,0.8540540540540541,0.7845303867403314,0.8432432432432433,0.8290684803086489,0.02437215512712599,27,0.021012496948242188,0.016561428632026764,0.0038012027740478515,0.0007486438993584524,0.007253160328073957,,0.15164488675757318,"OrderedDict([('C', 0.007253160328073957), ('class_weight', None), ('l1_ratio', 0.15164488675757318)])"
0.6666666666666666,0.6666666666666666,0.0,0.6641221374045801,0.0,0.3996446932943829,0.3261550150205423,98,0.006607532501220703,0.003720977286902973,0.003995180130004883,0.0015497331031894968,0.00034179994149935005,balanced,0.6716036074870483,"OrderedDict([('C', 0.00034179994149935005), ('class_weight', 'balanced'), ('l1_ratio', 0.6716036074870483)])"
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6641221374045801,0.6692015209125476,0.6666647382750539,0.001603497351266223,93,0.006595754623413086,0.002330502654137841,0.006995487213134766,0.006538343951718425,0.00015124211635101403,,0.057546885913514326,"OrderedDict([('C', 0.00015124211635101403), ('class_weight', None), ('l1_ratio', 0.057546885913514326)])"
0.8253968253968254,0.8510638297872342,0.8540540540540541,0.7777777777777778,0.8324324324324325,0.8281974665292651,0.027398327105600532,31,0.008594274520874023,0.0011998415976333388,0.0047972679138183595,0.0031220266288856952,0.01667729102365489,balanced,0.2605482168029483,"OrderedDict([('C', 0.01667729102365489), ('class_weight', 'balanced'), ('l1_ratio', 0.2605482168029483)])"
0.6666666666666666,0.6666666666666666,0.0,0.6641221374045801,0.0,0.3996446932943829,0.3261550150205423,98,0.008194732666015624,0.005451866953035184,0.0033978939056396483,0.000489726604953593,0.00018583017220542066,,0.8382832318267801,"OrderedDict([('C', 0.00018583017220542066), ('class_weight', None), ('l1_ratio', 0.8382832318267801)])"
0.7661691542288556,0.8159203980099501,0.8085106382978724,0.7340425531914894,0.7759562841530054,0.7801770274142846,0.029734355733209764,92,0.008194971084594726,0.0007479969032205581,0.004197168350219727,0.000979121488023731,0.006590003081708321,,0.7658929493587648,"OrderedDict([('C', 0.006590003081708321), ('class_weight', None), ('l1_ratio', 0.7658929493587648)])"
0.8042328042328043,0.8297872340425532,0.8510638297872342,0.7956989247311828,0.8287292817679558,0.821924483959414,0.019790324828917762,48,0.010593414306640625,0.006276105115325749,0.0031977176666259767,0.00039992348093430264,0.0012201507832221125,,0.04359251202624404,"OrderedDict([('C', 0.0012201507832221125), ('class_weight', None), ('l1_ratio', 0.04359251202624404)])"
0.8415300546448087,0.837696335078534,0.8556149732620321,0.7734806629834253,0.8415300546448087,0.8300215893739943,0.028866039062175365,22,0.01219182014465332,0.0074368697458267975,0.003198528289794922,0.0009797835175958702,0.04842504514610318,,0.6341343432329679,"OrderedDict([('C', 0.04842504514610318), ('class_weight', None), ('l1_ratio', 0.6341343432329679)])"
0.823529411764706,0.8167539267015707,0.8432432432432433,0.7692307692307692,0.8387096774193548,0.8183260325109878,0.026336582989820216,79,0.006395769119262695,0.0007993222207447843,0.004397344589233398,0.001742410374661204,0.002449637793744634,,0.0,"OrderedDict([('C', 0.002449637793744634), ('class_weight', None), ('l1_ratio', 0.0)])"
0.8342245989304813,0.8465608465608466,0.8510638297872342,0.7692307692307692,0.8342245989304813,0.8271186353954963,0.029644649142291462,33,0.01339111328125,0.010811915523477598,0.004996871948242188,0.003096161491797619,0.04019303755473027,,0.8967641420755093,"OrderedDict([('C', 0.04019303755473027), ('class_weight', None), ('l1_ratio', 0.8967641420755093)])"
0.8426966292134833,0.8449197860962567,0.8379888268156425,0.7444444444444445,0.8314606741573033,0.8203757612407441,0.03816381630310178,55,0.03997511863708496,0.009893242953693572,0.002598142623901367,0.0004894732290863336,10.0,balanced,1.0,"OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('l1_ratio', 1.0)])"
0.8426966292134833,0.8449197860962567,0.8314606741573033,0.7444444444444445,0.8314606741573033,0.8190671566076372,0.037645851313476635,74,0.03098011016845703,0.011359673347405607,0.009594202041625977,0.009701858903711577,10.0,balanced,0.0,"OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('l1_ratio', 0.0)])"
