split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params
0.7951807228915662,0.9560439560439561,0.9111111111111111,0.8901098901098902,0.9239130434782609,0.8952450027632505,0.054476115791687256,44,0.3715701103210449,0.010451448522001429,0.003397512435913086,0.0004898431271176978,0.91016552842833,0.015797489790511925,1.1292579362959514,27,6,515,0.3285569954293849,0.08006995132099874,0.7965977377685692,0.843026363873282,"OrderedDict([('colsample_bytree', 0.91016552842833), ('gamma', 0.015797489790511925), ('learning_rate', 1.1292579362959514), ('max_depth', 27), ('min_child_weight', 6), ('n_estimators', 515), ('reg_alpha', 0.3285569954293849), ('reg_lambda', 0.08006995132099874), ('scale_pos_weight', 0.7965977377685692), ('subsample', 0.843026363873282)])"
0.770949720670391,0.8555555555555556,0.8114285714285714,0.7305389221556886,0.869047619047619,0.80752164225259,0.05166616842641677,83,1.504868984222412,0.05980082951773263,0.004797124862670898,0.0007479204217973564,0.9000134575729503,0.0005730921158110448,5.5883137054880184e-06,13,7,902,9.132272081862517,0.03319865646983142,0.9618940316575866,0.7939629260205386,"OrderedDict([('colsample_bytree', 0.9000134575729503), ('gamma', 0.0005730921158110448), ('learning_rate', 5.5883137054880184e-06), ('max_depth', 13), ('min_child_weight', 7), ('n_estimators', 902), ('reg_alpha', 9.132272081862517), ('reg_lambda', 0.03319865646983142), ('scale_pos_weight', 0.9618940316575866), ('subsample', 0.7939629260205386)])"
0.8636363636363636,0.9560439560439561,0.9325842696629215,0.907103825136612,0.9555555555555557,0.9229657851315943,0.034717685458399386,20,1.277209758758545,0.03583935876759335,0.004197597503662109,0.00039958962392692293,0.9250873846163546,0.022220564142339395,0.1047246086134961,7,3,992,0.22677153179440457,2.0244281752846858,0.7666051817749031,0.9986501880666516,"OrderedDict([('colsample_bytree', 0.9250873846163546), ('gamma', 0.022220564142339395), ('learning_rate', 0.1047246086134961), ('max_depth', 7), ('min_child_weight', 3), ('n_estimators', 992), ('reg_alpha', 0.22677153179440457), ('reg_lambda', 2.0244281752846858), ('scale_pos_weight', 0.7666051817749031), ('subsample', 0.9986501880666516)])"
0.7999999999999999,0.8826815642458101,0.8681318681318682,0.8444444444444446,0.9050279329608938,0.8600237245380473,0.035921682360240514,68,1.105316400527954,0.05554600945647754,0.00479731559753418,0.000748098853118026,0.8683912747187847,0.00010783926528341678,0.00010355038932700943,16,4,455,0.992936572879022,0.001327434030549492,0.8226052188314646,0.8472733813840215,"OrderedDict([('colsample_bytree', 0.8683912747187847), ('gamma', 0.00010783926528341678), ('learning_rate', 0.00010355038932700943), ('max_depth', 16), ('min_child_weight', 4), ('n_estimators', 455), ('reg_alpha', 0.992936572879022), ('reg_lambda', 0.001327434030549492), ('scale_pos_weight', 0.8226052188314646), ('subsample', 0.8472733813840215)])"
0.8022598870056498,0.9491525423728814,0.9120879120879122,0.898876404494382,0.9444444444444444,0.9013180053102378,0.053111107687539544,37,0.32200040817260744,0.0541934301069622,0.0035976886749267576,0.0007995725046830675,0.7646011581402816,0.00038578459129136127,1.0085354914149092,4,5,368,1.168008534464959,0.2483973854903286,0.7989133336793245,0.8518334365144267,"OrderedDict([('colsample_bytree', 0.7646011581402816), ('gamma', 0.00038578459129136127), ('learning_rate', 1.0085354914149092), ('max_depth', 4), ('min_child_weight', 5), ('n_estimators', 368), ('reg_alpha', 1.168008534464959), ('reg_lambda', 0.2483973854903286), ('scale_pos_weight', 0.7989133336793245), ('subsample', 0.8518334365144267)])"
0.8070175438596491,0.9281767955801105,0.8938547486033518,0.87292817679558,0.9273743016759776,0.8858377827199434,0.044661731234490916,53,1.0579453945159911,0.04365181995421723,0.00479741096496582,0.0009792189119705917,0.7589836372936681,0.04612723476459864,2.5282976523202e-06,15,2,334,0.0016416969202809667,0.7182396203478544,0.959570807956695,0.8409442808842422,"OrderedDict([('colsample_bytree', 0.7589836372936681), ('gamma', 0.04612723476459864), ('learning_rate', 2.5282976523202e-06), ('max_depth', 15), ('min_child_weight', 2), ('n_estimators', 334), ('reg_alpha', 0.0016416969202809667), ('reg_lambda', 0.7182396203478544), ('scale_pos_weight', 0.959570807956695), ('subsample', 0.8409442808842422)])"
0.8047337278106509,0.9171270718232044,0.8999999999999999,0.8901098901098902,0.9340659340659342,0.8891552049730385,0.04484706388080473,50,3.7394879341125487,0.18378596153374543,0.008195114135742188,0.0034847879260732142,0.919418331377962,0.6752502393403164,3.318783362459636e-05,31,1,851,0.29893588628745404,0.03838718844942658,0.8015213947952691,0.8438173351938522,"OrderedDict([('colsample_bytree', 0.919418331377962), ('gamma', 0.6752502393403164), ('learning_rate', 3.318783362459636e-05), ('max_depth', 31), ('min_child_weight', 1), ('n_estimators', 851), ('reg_alpha', 0.29893588628745404), ('reg_lambda', 0.03838718844942658), ('scale_pos_weight', 0.8015213947952691), ('subsample', 0.8438173351938522)])"
0.8047337278106509,0.9021739130434783,0.8826815642458101,0.8913043478260869,0.918918918918919,0.8799052070364071,0.03953413510091421,58,3.0680796623229982,0.12644890604600972,0.0031246662139892576,0.006249332427978514,0.9942399303752477,0.0435545377709014,0.0006550998952616189,16,2,692,0.04657269421125992,0.0025781313152764217,0.8886010323957282,0.9277600890877941,"OrderedDict([('colsample_bytree', 0.9942399303752477), ('gamma', 0.0435545377709014), ('learning_rate', 0.0006550998952616189), ('max_depth', 16), ('min_child_weight', 2), ('n_estimators', 692), ('reg_alpha', 0.04657269421125992), ('reg_lambda', 0.0025781313152764217), ('scale_pos_weight', 0.8886010323957282), ('subsample', 0.9277600890877941)])"
0.8323699421965318,0.9289617486338798,0.9050279329608938,0.8901098901098902,0.9333333333333332,0.8979292231091501,0.03642424680288871,40,2.235664176940918,0.03045806985321027,0.009978532791137695,0.008221385558692527,0.8297164515608693,0.025427953817911266,0.0017255447479337664,7,3,820,0.05090175167566534,0.08227201385052393,0.9017847981326788,0.9860043519111066,"OrderedDict([('colsample_bytree', 0.8297164515608693), ('gamma', 0.025427953817911266), ('learning_rate', 0.0017255447479337664), ('max_depth', 7), ('min_child_weight', 3), ('n_estimators', 820), ('reg_alpha', 0.05090175167566534), ('reg_lambda', 0.08227201385052393), ('scale_pos_weight', 0.9017847981326788), ('subsample', 0.9860043519111066)])"
0.7796610169491526,0.8478260869565218,0.8571428571428571,0.7674418604651162,0.8764044943820225,0.8257038556296025,0.0437048635802001,77,0.39362635612487795,0.08086654267076462,0.0070492267608642575,0.007151894747876174,0.963585220172921,0.025113183653834546,3.281646363758601e-06,9,9,229,0.25675805074820574,0.42318978241947636,0.9033853051026403,0.7857641087952518,"OrderedDict([('colsample_bytree', 0.963585220172921), ('gamma', 0.025113183653834546), ('learning_rate', 3.281646363758601e-06), ('max_depth', 9), ('min_child_weight', 9), ('n_estimators', 229), ('reg_alpha', 0.25675805074820574), ('reg_lambda', 0.42318978241947636), ('scale_pos_weight', 0.9033853051026403), ('subsample', 0.7857641087952518)])"
